Date ,Asset1,Asset2,Asset3,Asset4,Asset5,Asset6,Asset7,Asset8,Asset9,Asset10,Asset11,Asset12,Asset13,Asset14,Asset15,Asset16,Asset17,Asset18,Asset19,Asset20,Asset21,Asset22,Asset23,Asset24,Asset25,Asset26,Asset27,Asset28,Asset29,Asset30,Asset31,Asset32,Asset33,Asset34,Asset35,Asset36,Asset37,Asset38,Asset39,Asset40,Asset41,Asset42,Asset43,Asset44,Asset45,Asset46,Asset47,Asset48,Asset49,Asset50,Asset51,Asset52,Asset53,Asset54,Asset55,Asset56,Asset57,Asset58,Asset59,Asset60,Asset61,Asset62,Asset63,Asset64,Asset65,Asset66,Asset67,Asset68,Asset69,Asset70,Asset71,Asset72,Asset73,Asset74,Asset75,Asset76,Asset77,Asset78,Asset79,Asset80,Asset81,Asset82,Asset83,Asset84,Asset85,Asset86,Asset87,Asset88,Asset89,Asset90,Asset91,Asset92,Asset93,Asset94,Asset95,Asset96,Asset97,Asset98,Asset99
1963-07,6,6.14,7.04,6.97,6.25,7.66,5.89,7.14,4.98,6.82,17.06,17.85,19.35,18.6,16.15,17.41,19.81,18.62,19.55,18.99,30.34,29.05,31.14,32.4,29.63,29.8,29.41,30.6,27.99,30.36,42.47,43.08,43.66,42.83,39.66,41.44,41.86,41.93,43.07,42.66,64.5,58.75,60.82,53.74,59.24,60.06,66.11,58.36,61.28,59.38,92.55,85.85,89,93.8,85.95,91.65,90.34,90.33,85.5,89.06,125.61,126.12,128.85,135.34,135.21,143.51,140.5,128.57,148.67,129.71,229.82,249.19,236.98,233.35,247.58,226.52,229.54,224.04,226.32,235.45,390.09,441.08,489.9,447.16,476.57,403.01,475.37,450.7,416.88,540.91,1842.34,986.69,1195.57,1120.64,1925.21,3735.12,3094.76,4559.03,900.57
1963-08,6.11,5.99,6.94,6.77,6.12,7.83,5.62,7.01,4.86,6.85,17.09,17.57,19.28,18.06,15.74,16.84,20.24,19.07,19.28,19.31,29.62,27.5,30.85,32.7,29.27,30.26,29.76,30.48,28.58,29.77,42.56,43.03,42.51,42.08,40.29,41.17,41.6,42.35,43.13,43.11,66.87,56.85,59.26,54.93,58.39,59.48,65.56,56.54,60.3,58.79,88.13,83.62,86.34,91.67,83.35,89.46,89.84,90.83,81.91,87.68,119.27,123.01,126.93,134.01,131.89,144.82,138.3,128.68,146,129.76,230.68,252.35,233.65,230,244.7,219.87,226.67,215.61,218.63,234.4,401.01,441.59,477.17,443.99,463.69,403.5,477.83,447.81,423.32,541.68,1846.48,976.71,1207.24,1149.73,1931.04,3758.07,3081.22,4602.01,936.47
1963-09,6.41,6.34,6.94,7.25,6.18,7.98,5.65,7.09,4.83,6.95,17.61,18.24,19.41,18.15,16.52,17.22,20.62,19.75,20.33,20.05,32.17,28.06,31.66,33.71,28.76,30.26,29.76,31.55,29.87,31.74,45.24,44.06,43.27,48.9,43.4,44.6,43.4,46.41,46.38,44.34,71.61,59.94,60.15,60.99,59.72,61.23,69.84,56.61,66.3,64.13,92.79,88.95,88.54,94.85,86.26,91.42,94.35,91.53,86.93,93.73,128.7,130.22,131.34,136.83,137.07,150.43,147.52,137.3,154.24,140.75,247.73,260.5,249.29,244.48,254.79,225.8,240.9,222.19,227.23,254.48,420.26,490.73,495.4,461.88,489.81,429.22,506.47,469.56,442.38,585.45,1961.84,1033.86,1261.91,1214.24,2016.64,3883.84,3237.95,4877.76,1009.7
1963-10,6.34,6.18,6.88,7.04,6.07,8.02,5.75,7.14,4.66,6.93,17.46,18.21,19.07,18.31,15.64,16.43,20.17,19.89,19.24,19.31,31.67,28.1,31.38,32.03,27.63,28.3,29.8,30.88,29.48,30.86,44.14,46.61,42.5,46.57,41.7,42.27,41.7,44.81,45.31,42.89,68.03,57.11,61.77,57.19,60.15,62.97,67.38,56.2,63.9,62.46,86.78,87.46,86.94,92.84,86.44,93.12,93.02,88.3,88.28,87.14,118.29,123.67,128.6,140.37,132.61,142.85,137.65,134.46,151.83,133.78,247.02,249.13,243.54,243.47,251.91,222.78,233.5,213.84,216.23,256.9,424.04,479.16,484.36,458.99,477.91,413.61,498.36,454.08,432.24,578.45,1933.7,1027.25,1244.66,1174.41,1954.41,3888.24,3273.03,4851.68,991.16
1963-11,6.37,6.31,7.06,6.86,5.93,8.41,5.79,7.41,4.64,6.85,17.76,18.03,19.53,17.56,14.6,16.5,19.98,20.6,19.71,18.83,33.02,29.76,32.48,33.08,28.05,28.96,29.58,31.99,30.57,31.35,44.03,50.69,43.01,53.54,41.11,43.11,42.45,46.97,47.27,42.21,69.05,57.63,60.9,57.6,59.12,62.52,68.45,60.03,65.08,62.82,86.56,91.6,90.48,94.89,90.19,96.67,92.78,88.97,88.22,93.42,126.47,123.43,129.69,139.39,137.72,151.9,137.97,137.03,151.53,137.08,267.34,264.65,249.39,237.77,254.05,216,236.72,213.23,218.28,258.38,430.8,498.71,488.85,457.05,485.14,415.31,521.77,455.45,439.93,608.8,1954.54,1032.62,1258.77,1174.47,1954.89,4024.35,3485.07,5392.56,1104.34
1963-12,6.13,6.08,7.21,6.75,5.78,7.95,5.56,7.09,4.5,6.72,17.53,17.38,20.25,18.11,14.29,15.81,19.56,20.08,18.83,18.1,32.4,30.17,32.59,32.52,28.51,29.49,30.63,31.41,28.91,30.73,44.56,49.98,41.98,49.11,41.14,41.72,42.77,45.7,47.91,39.74,70.73,57.16,58.77,57.07,59.09,61.44,66.56,56.23,62.73,63.05,83.55,91.14,87.33,91.78,91.28,92.69,92.51,85.16,86.15,86.5,122.83,119.44,128.24,134.75,135.84,151.59,138.24,135.27,154.47,138.32,266.29,262.94,248.81,234.22,245.12,217.77,237.85,217.32,218.1,254.93,454.8,493,487.04,445.87,480.31,408.39,512.22,461.38,445.52,593.08,1908.42,1009.72,1243.66,1147.43,1934.8,4083.89,3422.62,4944.37,1126.49
1964-01,6,5.9,6.98,6.63,5.79,7.91,5.26,6.94,4.26,6.58,17.02,17.57,20.34,18.64,14.04,15.67,18.95,20.28,18.93,17.58,31.72,30.83,31.75,33.32,27.99,30.7,32.49,31.43,29.2,30.53,44.37,48.02,42.31,48.12,41.21,41.36,41.95,44.74,48.75,39.74,72.65,57.98,59.78,58.09,58.91,60.26,67.67,61.82,62.72,66.18,83.36,93.97,84.11,89.83,91.94,100.31,94.3,83.62,84.34,86.31,117.73,119.61,131,143.44,139.18,157.39,137.19,141.57,151.73,137.79,274.28,267.87,249.43,237.58,244.3,212.81,241.7,220.55,214.19,250.39,480.43,487.58,504.88,456.37,471.34,425.3,509.94,470.18,425.46,598.34,1945.66,1036.79,1304.59,1167.14,1992.03,4176.42,3499.19,5047.21,1178.1
1964-02,6.39,6.39,7.66,7.02,6.06,8.09,5.6,7.21,4.62,6.68,17.71,18.02,21.08,18.78,14.92,15.77,19.58,21.07,19.21,17.92,33.91,30.62,32.61,32.8,28.45,33.4,32.01,33.03,28.21,30.82,45.47,48.14,43.5,47.52,42.04,42.03,44.47,43.31,51.74,38.34,77.08,60.64,61.48,60.89,60.34,62.09,70.47,60.91,63.38,66.89,80.38,99.97,83.08,91.34,96.56,102.12,97.09,85.55,83.36,84.75,113.89,122.04,133.24,149.62,141.59,154.05,137.07,143.81,153.55,138.78,284.2,294.07,259.29,240.32,241.14,208.87,245.07,221.96,214.13,245.59,456.17,508.36,508.24,467.57,486.31,430.83,504.22,478.86,420.4,574.59,1995.86,1041.55,1314.32,1199.3,2034.54,4357.41,3734.53,5110.83,1120.67
1964-03,6.63,6.51,7.55,6.89,6.15,8.19,5.67,7.19,4.79,6.87,17.71,18.45,20.7,19.05,16.11,16.59,19.69,21.83,19.23,18.2,34.43,29.7,34.18,33.42,29.52,36.13,35.66,33.38,28.79,32.73,47.15,46.95,44.38,46.94,44.66,41.75,46.74,44.33,52.83,38.72,81.34,62.17,64.06,63.35,60.39,63.46,73.03,61.56,63.64,65.94,81.6,103.03,85.78,93.1,97.64,106.3,98.42,85.07,85.06,83.71,114.3,123.81,133.96,151.95,143.98,157.66,138.85,146.74,160.11,139.91,293.97,307.55,269.37,243.67,246.46,215.94,254.83,225.1,213.62,250.38,443.88,510.99,517.13,473.83,495.41,438.19,519.91,482.97,449.53,587.52,2017.51,1059.3,1329.17,1217.71,2056.44,4359.73,3797.45,5139.79,1125.14
1964-04,6.92,6.55,7.72,7.32,6.25,8.29,5.97,7.54,4.79,7,19.05,19.45,20.44,19.92,17.49,16.44,19.73,21.86,20.17,17.97,37.06,30.81,34.93,34.25,30.08,37.1,37.01,34.74,29.5,33.84,50.53,49.64,47.75,47.98,43.74,45.95,47.02,46.05,54.1,40.05,83.33,68.33,66.54,63.59,62.99,67.06,75.51,66.38,65.08,65.84,82.99,114.63,85.22,95.33,100.48,112.3,98.22,83.99,92.18,82.35,120.05,134.23,135.61,153.1,150.6,167.08,142.31,155.69,160.13,136.94,305.13,330.34,280.81,245.2,255.34,215.01,265.62,228.65,222.75,256.04,443.83,528.15,530.13,492.51,496,441.92,521.61,484.05,458.26,605.78,2113.56,1133.44,1345.68,1249.23,2057.11,4348.24,3897.46,5147.61,1166.23
